MSISDN,IMSI,ICCID,Pin1,Puk1
0901000066,417010001000066,8910300000010000668,1234,5678
0901000067,417010001000067,8910300000010000676,1234,5678
0901000068,417010001000068,8910300000010000684,1234,5678
0901000069,417010001000069,8910300000010000692,1234,5678
0901000070,417010001000070,8910300000010000700,1234,5678
0901000071,417010001000071,8910300000010000718,1234,5678
0901000072,417010001000072,8910300000010000726,1234,5678
0901000073,417010001000073,8910300000010000734,1234,5678
0901000074,417010001000074,8910300000010000742,1234,5678
0901000075,417010001000075,8910300000010000759,1234,5678
0901000076,417010001000076,8910300000010000767,1234,5678
0901000077,417010001000077,8910300000010000775,1234,5678
0901000078,417010001000078,8910300000010000783,1234,5678
0901000079,417010001000079,8910300000010000791,1234,5678
0901000080,417010001000080,8910300000010000809,1234,5678
0901000081,417010001000081,8910300000010000817,1234,5678
0901000082,417010001000082,8910300000010000825,1234,5678
0901000083,417010001000083,8910300000010000833,1234,5678
0901000084,417010001000084,8910300000010000841,1234,5678
0901000085,417010001000085,8910300000010000858,1234,5678
0901000086,417010001000086,8910300000010000866,1234,5678
0901000087,417010001000087,8910300000010000874,1234,5678
0901000088,417010001000088,8910300000010000882,1234,5678
0901000089,417010001000089,8910300000010000890,1234,5678
0901000090,417010001000090,8910300000010000908,1234,5678
0901000091,417010001000091,8910300000010000916,1234,5678
0901000092,417010001000092,8910300000010000924,1234,5678
0901000093,417010001000093,8910300000010000932,1234,5678
0901000094,417010001000094,8910300000010000940,1234,5678
0901000095,417010001000095,8910300000010000957,1234,5678
0901000096,417010001000096,8910300000010000965,1234,5678
0901000097,417010001000097,8910300000010000973,1234,5678
0901000098,417010001000098,8910300000010000981,1234,5678
0901000099,417010001000099,8910300000010000999,1234,5678
,,INVALID_ICCID,,
0901000101,417010001000101,8910300000010001013,1234,5678
0901000102,417010001000102,8910300000010001021,1234,5678
0901000103,417010001000103,8910300000010001039,1234,5678
0901000104,417010001000104,8910300000010001047,1234,5678
0901000105,417010001000105,8910300000010001054,1234,5678
0901000106,417010001000106,8910300000010001062,1234,5678
0901000107,417010001000107,8910300000010001070,1234,5678
0901000108,417010001000108,8910300000010001088,1234,5678
0901000109,417010001000109,8910300000010001096,1234,5678
0901000110,417010001000110,8910300000010001104,1234,5678
0901000111,417010001000111,8910300000010001112,1234,5678
0901000112,417010001000112,8910300000010001120,1234,5678
0901000113,417010001000113,8910300000010001138,1234,5678
0901000114,417010001000114,8910300000010001146,1234,5678
0901000115,417010001000115,8910300000010001153,1234,5678
0901000116,417010001000116,8910300000010001161,1234,5678
0901000117,417010001000117,8910300000010001179,1234,5678
0901000118,417010001000118,8910300000010001187,1234,5678
0901000119,417010001000119,8910300000010001195,1234,5678
0901000120,417010001000120,8910300000010001203,1234,5678
0901000121,417010001000121,8910300000010001211,1234,5678
0901000122,417010001000122,8910300000010001229,1234,5678
0901000123,417010001000123,8910300000010001237,1234,5678
0901000124,417010001000124,8910300000010001245,1234,5678
0901000125,417010001000125,8910300000010001252,1234,5678
0901000126,417010001000126,8910300000010001260,1234,5678
0901000127,417010001000127,8910300000010001278,1234,5678
0901000128,417010001000128,8910300000010001286,1234,5678
0901000129,417010001000129,8910300000010001294,1234,5678
0901000130,417010001000130,8910300000010001302,1234,5678
0901000131,417010001000131,8910300000010001310,1234,5678
0901000132,417010001000132,8910300000010001328,1234,5678
0901000133,417010001000133,8910300000010001336,1234,5678
0901000134,417010001000134,8910300000010001344,1234,5678
0901000135,417010001000135,8910300000010001351,1234,5678
0901000136,417010001000136,8910300000010001369,1234,5678
0901000137,417010001000137,8910300000010001377,1234,5678
0901000138,417010001000138,8910300000010001385,1234,5678
0901000139,417010001000139,8910300000010001393,1234,5678
0901000140,417010001000140,8910300000010001401,1234,5678
0901000141,417010001000141,8910300000010001419,1234,5678
0901000142,417010001000142,8910300000010001427,1234,5678
0901000143,417010001000143,8910300000010001435,1234,5678
0901000144,417010001000144,8910300000010001443,1234,5678
0901000145,417010001000145,8910300000010001450,1234,5678
0901000146,417010001000146,8910300000010001468,1234,5678
0901000147,417010001000147,8910300000010001476,1234,5678
0901000148,417010001000148,8910300000010001484,1234,5678
0901000149,417010001000149,8910300000010001492,1234,5678
0901000150,417010001000150,8910300000010001500,1234,5678
0901000151,417010001000151,8910300000010001518,1234,5678
0901000152,417010001000152,8910300000010001526,1234,5678
0901000153,417010001000153,8910300000010001534,1234,5678
0901000154,417010001000154,8910300000010001542,1234,5678
0901000155,417010001000155,8910300000010001559,1234,5678
0901000156,417010001000156,8910300000010001567,1234,5678
0901000157,417010001000157,8910300000010001575,1234,5678
0901000158,417010001000158,8910300000010001583,1234,5678
0901000159,417010001000159,8910300000010001591,1234,5678
0901000160,417010001000160,8910300000010001609,1234,5678
0901000161,417010001000161,8910300000010001617,1234,5678
0901000162,417010001000162,8910300000010001625,1234,5678
0901000163,417010001000163,8910300000010001633,1234,5678
0901000164,417010001000164,8910300000010001641,1234,5678
0901000165,417010001000165,8910300000010001658,1234,5678
0901000166,417010001000166,8910300000010001666,1234,5678
0901000167,417010001000167,8910300000010001674,1234,5678
0901000168,417010001000168,8910300000010001682,1234,5678
0901000169,417010001000169,8910300000010001690,1234,5678
0901000170,417010001000170,8910300000010001708,1234,5678
0901000171,417010001000171,8910300000010001716,1234,5678
0901000172,417010001000172,8910300000010001724,1234,5678
0901000173,417010001000173,8910300000010001732,1234,5678
0901000174,417010001000174,8910300000010001740,1234,5678
0901000175,417010001000175,8910300000010001757,1234,5678
0901000176,417010001000176,8910300000010001765,1234,5678
0901000177,417010001000177,8910300000010001773,1234,5678
0901000178,417010001000178,8910300000010001781,1234,5678
0901000179,417010001000179,8910300000010001799,1234,5678
0901000180,417010001000180,8910300000010001807,1234,5678
0901000181,417010001000181,8910300000010001815,1234,5678
0901000182,417010001000182,8910300000010001823,1234,5678
0901000183,417010001000183,8910300000010001831,1234,5678
0901000184,417010001000184,8910300000010001849,1234,5678
0901000185,417010001000185,8910300000010001856,1234,5678
0901000186,417010001000186,8910300000010001864,1234,5678
0901000187,417010001000187,8910300000010001872,1234,5678
0901000188,417010001000188,8910300000010001880,1234,5678
0901000189,417010001000189,8910300000010001898,1234,5678
0901000190,417010001000190,8910300000010001906,1234,5678
0901000191,417010001000191,8910300000010001914,1234,5678
0901000192,417010001000192,8910300000010001922,1234,5678
0901000193,417010001000193,8910300000010001930,1234,5678
0901000194,417010001000194,8910300000010001948,1234,5678
0901000195,417010001000195,8910300000010001955,1234,5678
0901000196,417010001000196,8910300000010001963,1234,5678
0901000197,417010001000197,8910300000010001971,1234,5678
0901000198,417010001000198,8910300000010001989,1234,5678
0901000199,417010001000199,8910300000010001997,1234,5678
,,INVALID_ICCID,,
0901000201,417010001000201,8910300000010002011,1234,5678
0901000202,417010001000202,8910300000010002029,1234,5678
0901000203,417010001000203,8910300000010002037,1234,5678
0901000204,417010001000204,8910300000010002045,1234,5678
0901000205,417010001000205,8910300000010002052,1234,5678
0901000206,417010001000206,8910300000010002060,1234,5678
0901000207,417010001000207,8910300000010002078,1234,5678
0901000208,417010001000208,8910300000010002086,1234,5678
0901000209,417010001000209,8910300000010002094,1234,5678
0901000210,417010001000210,8910300000010002102,1234,5678
0901000211,417010001000211,8910300000010002110,1234,5678
0901000212,417010001000212,8910300000010002128,1234,5678
0901000213,417010001000213,8910300000010002136,1234,5678
0901000214,417010001000214,8910300000010002144,1234,5678
0901000215,417010001000215,8910300000010002151,1234,5678
0901000216,417010001000216,8910300000010002169,1234,5678
0901000217,417010001000217,8910300000010002177,1234,5678
0901000218,417010001000218,8910300000010002185,1234,5678
0901000219,417010001000219,8910300000010002193,1234,5678
0901000220,417010001000220,8910300000010002201,1234,5678
0901000221,417010001000221,8910300000010002219,1234,5678
0901000222,417010001000222,8910300000010002227,1234,5678
0901000223,417010001000223,8910300000010002235,1234,5678
0901000224,417010001000224,8910300000010002243,1234,5678
0901000225,417010001000225,8910300000010002250,1234,5678
0901000226,417010001000226,8910300000010002268,1234,5678
0901000227,417010001000227,8910300000010002276,1234,5678
0901000228,417010001000228,8910300000010002284,1234,5678
0901000229,417010001000229,8910300000010002292,1234,5678
0901000230,417010001000230,8910300000010002300,1234,5678
0901000231,417010001000231,8910300000010002318,1234,5678
0901000232,417010001000232,8910300000010002326,1234,5678
0901000233,417010001000233,8910300000010002334,1234,5678
0901000234,417010001000234,8910300000010002342,1234,5678
0901000235,417010001000235,8910300000010002359,1234,5678
0901000236,417010001000236,8910300000010002367,1234,5678
0901000237,417010001000237,8910300000010002375,1234,5678
0901000238,417010001000238,8910300000010002383,1234,5678
0901000239,417010001000239,8910300000010002391,1234,5678
0901000240,417010001000240,8910300000010002409,1234,5678
0901000241,417010001000241,8910300000010002417,1234,5678
0901000242,417010001000242,8910300000010002425,1234,5678
0901000243,417010001000243,8910300000010002433,1234,5678
0901000244,417010001000244,8910300000010002441,1234,5678
0901000245,417010001000245,8910300000010002458,1234,5678
0901000246,417010001000246,8910300000010002466,1234,5678
0901000247,417010001000247,8910300000010002474,1234,5678
0901000248,417010001000248,8910300000010002482,1234,5678
0901000249,417010001000249,8910300000010002490,1234,5678
0901000250,417010001000250,8910300000010002508,1234,5678
0901000251,417010001000251,8910300000010002516,1234,5678
0901000252,417010001000252,8910300000010002524,1234,5678
0901000253,417010001000253,8910300000010002532,1234,5678
0901000254,417010001000254,8910300000010002540,1234,5678
0901000255,417010001000255,8910300000010002557,1234,5678
0901000256,417010001000256,8910300000010002565,1234,5678
0901000257,417010001000257,8910300000010002573,1234,5678
0901000258,417010001000258,8910300000010002581,1234,5678
0901000259,417010001000259,8910300000010002599,1234,5678
0901000260,417010001000260,8910300000010002607,1234,5678
0901000261,417010001000261,8910300000010002615,1234,5678
0901000262,417010001000262,8910300000010002623,1234,5678
0901000263,417010001000263,8910300000010002631,1234,5678
0901000264,417010001000264,8910300000010002649,1234,5678
0901000265,417010001000265,8910300000010002656,1234,5678
0901000266,417010001000266,8910300000010002664,1234,5678
0901000267,417010001000267,8910300000010002672,1234,5678
0901000268,417010001000268,8910300000010002680,1234,5678
0901000269,417010001000269,8910300000010002698,1234,5678
0901000270,417010001000270,8910300000010002706,1234,5678
0901000271,417010001000271,8910300000010002714,1234,5678
0901000272,417010001000272,8910300000010002722,1234,5678
0901000273,417010001000273,8910300000010002730,1234,5678
0901000274,417010001000274,8910300000010002748,1234,5678
0901000275,417010001000275,8910300000010002755,1234,5678
0901000276,417010001000276,8910300000010002763,1234,5678
0901000277,417010001000277,8910300000010002771,1234,5678
0901000278,417010001000278,8910300000010002789,1234,5678
0901000279,417010001000279,8910300000010002797,1234,5678
0901000280,417010001000280,8910300000010002805,1234,5678
0901000281,417010001000281,8910300000010002813,1234,5678
0901000282,417010001000282,8910300000010002821,1234,5678
0901000283,417010001000283,8910300000010002839,1234,5678
0901000284,417010001000284,8910300000010002847,1234,5678
0901000285,417010001000285,8910300000010002854,1234,5678
0901000286,417010001000286,8910300000010002862,1234,5678
0901000287,417010001000287,8910300000010002870,1234,5678
0901000288,417010001000288,8910300000010002888,1234,5678
0901000289,417010001000289,8910300000010002896,1234,5678
0901000290,417010001000290,8910300000010002904,1234,5678
0901000291,417010001000291,8910300000010002912,1234,5678
0901000292,417010001000292,8910300000010002920,1234,5678
0901000293,417010001000293,8910300000010002938,1234,5678
0901000294,417010001000294,8910300000010002946,1234,5678
0901000295,417010001000295,8910300000010002953,1234,5678
0901000296,417010001000296,8910300000010002961,1234,5678
0901000297,417010001000297,8910300000010002979,1234,5678
0901000298,417010001000298,8910300000010002987,1234,5678
0901000299,417010001000299,8910300000010002995,1234,5678
,,INVALID_ICCID,,
0901000301,417010001000301,8910300000010003019,1234,5678
0901000302,417010001000302,8910300000010003027,1234,5678
0901000303,417010001000303,8910300000010003035,1234,5678
0901000304,417010001000304,8910300000010003043,1234,5678
0901000305,417010001000305,8910300000010003050,1234,5678
0901000306,417010001000306,8910300000010003068,1234,5678
0901000307,417010001000307,8910300000010003076,1234,5678
0901000308,417010001000308,8910300000010003084,1234,5678
0901000309,417010001000309,8910300000010003092,1234,5678
0901000310,417010001000310,8910300000010003100,1234,5678
0901000311,417010001000311,8910300000010003118,1234,5678
0901000312,417010001000312,8910300000010003126,1234,5678
0901000313,417010001000313,8910300000010003134,1234,5678
0901000314,417010001000314,8910300000010003142,1234,5678
0901000315,417010001000315,8910300000010003159,1234,5678
0901000316,417010001000316,8910300000010003167,1234,5678
0901000317,417010001000317,8910300000010003175,1234,5678
0901000318,417010001000318,8910300000010003183,1234,5678
0901000319,417010001000319,8910300000010003191,1234,5678
0901000320,417010001000320,8910300000010003209,1234,5678
0901000321,417010001000321,8910300000010003217,1234,5678
0901000322,417010001000322,8910300000010003225,1234,5678
0901000323,417010001000323,8910300000010003233,1234,5678
0901000324,417010001000324,8910300000010003241,1234,5678
0901000325,417010001000325,8910300000010003258,1234,5678
0901000326,417010001000326,8910300000010003266,1234,5678
0901000327,417010001000327,8910300000010003274,1234,5678
0901000328,417010001000328,8910300000010003282,1234,5678
0901000329,417010001000329,8910300000010003290,1234,5678
0901000330,417010001000330,8910300000010003308,1234,5678
0901000331,417010001000331,8910300000010003316,1234,5678
0901000332,417010001000332,8910300000010003324,1234,5678
0901000333,417010001000333,8910300000010003332,1234,5678
0901000334,417010001000334,8910300000010003340,1234,5678
0901000335,417010001000335,8910300000010003357,1234,5678
0901000336,417010001000336,8910300000010003365,1234,5678
0901000337,417010001000337,8910300000010003373,1234,5678
0901000338,417010001000338,8910300000010003381,1234,5678
0901000339,417010001000339,8910300000010003399,1234,5678
0901000340,417010001000340,8910300000010003407,1234,5678
0901000341,417010001000341,8910300000010003415,1234,5678
0901000342,417010001000342,8910300000010003423,1234,5678
0901000343,417010001000343,8910300000010003431,1234,5678
0901000344,417010001000344,8910300000010003449,1234,5678
0901000345,417010001000345,8910300000010003456,1234,5678
0901000346,417010001000346,8910300000010003464,1234,5678
0901000347,417010001000347,8910300000010003472,1234,5678
0901000348,417010001000348,8910300000010003480,1234,5678
0901000349,417010001000349,8910300000010003498,1234,5678
0901000350,417010001000350,8910300000010003506,1234,5678
0901000351,417010001000351,8910300000010003514,1234,5678
0901000352,417010001000352,8910300000010003522,1234,5678
0901000353,417010001000353,8910300000010003530,1234,5678
0901000354,417010001000354,8910300000010003548,1234,5678
0901000355,417010001000355,8910300000010003555,1234,5678
0901000356,417010001000356,8910300000010003563,1234,5678
0901000357,417010001000357,8910300000010003571,1234,5678
0901000358,417010001000358,8910300000010003589,1234,5678
0901000359,417010001000359,8910300000010003597,1234,5678
0901000360,417010001000360,8910300000010003605,1234,5678
0901000361,417010001000361,8910300000010003613,1234,5678
0901000362,417010001000362,8910300000010003621,1234,5678
0901000363,417010001000363,8910300000010003639,1234,5678
0901000364,417010001000364,8910300000010003647,1234,5678
0901000365,417010001000365,8910300000010003654,1234,5678
0901000366,417010001000366,8910300000010003662,1234,5678
0901000367,417010001000367,8910300000010003670,1234,5678
0901000368,417010001000368,8910300000010003688,1234,5678
0901000369,417010001000369,8910300000010003696,1234,5678
0901000370,417010001000370,8910300000010003704,1234,5678
0901000371,417010001000371,8910300000010003712,1234,5678
0901000372,417010001000372,8910300000010003720,1234,5678
0901000373,417010001000373,8910300000010003738,1234,5678
0901000374,417010001000374,8910300000010003746,1234,5678
0901000375,417010001000375,8910300000010003753,1234,5678
0901000376,417010001000376,8910300000010003761,1234,5678
0901000377,417010001000377,8910300000010003779,1234,5678
0901000378,417010001000378,8910300000010003787,1234,5678
0901000379,417010001000379,8910300000010003795,1234,5678
0901000380,417010001000380,8910300000010003803,1234,5678
0901000381,417010001000381,8910300000010003811,1234,5678
0901000382,417010001000382,8910300000010003829,1234,5678
0901000383,417010001000383,8910300000010003837,1234,5678
0901000384,417010001000384,8910300000010003845,1234,5678
0901000385,417010001000385,8910300000010003852,1234,5678
0901000386,417010001000386,8910300000010003860,1234,5678
0901000387,417010001000387,8910300000010003878,1234,5678
0901000388,417010001000388,8910300000010003886,1234,5678
0901000389,417010001000389,8910300000010003894,1234,5678
0901000390,417010001000390,8910300000010003902,1234,5678
0901000391,417010001000391,8910300000010003910,1234,5678
0901000392,417010001000392,8910300000010003928,1234,5678
0901000393,417010001000393,8910300000010003936,1234,5678
0901000394,417010001000394,8910300000010003944,1234,5678
0901000395,417010001000395,8910300000010003951,1234,5678
0901000396,417010001000396,8910300000010003969,1234,5678
0901000397,417010001000397,8910300000010003977,1234,5678
0901000398,417010001000398,8910300000010003985,1234,5678
0901000399,417010001000399,8910300000010003993,1234,5678
,,INVALID_ICCID,,
0901000401,417010001000401,8910300000010004017,1234,5678
0901000402,417010001000402,8910300000010004025,1234,5678
0901000403,417010001000403,8910300000010004033,1234,5678
0901000404,417010001000404,8910300000010004041,1234,5678
0901000405,417010001000405,8910300000010004058,1234,5678
0901000406,417010001000406,8910300000010004066,1234,5678
0901000407,417010001000407,8910300000010004074,1234,5678
0901000408,417010001000408,8910300000010004082,1234,5678
0901000409,417010001000409,8910300000010004090,1234,5678
0901000410,417010001000410,8910300000010004108,1234,5678
0901000411,417010001000411,8910300000010004116,1234,5678
0901000412,417010001000412,8910300000010004124,1234,5678
0901000413,417010001000413,8910300000010004132,1234,5678
0901000414,417010001000414,8910300000010004140,1234,5678
0901000415,417010001000415,8910300000010004157,1234,5678
0901000416,417010001000416,8910300000010004165,1234,5678
0901000417,417010001000417,8910300000010004173,1234,5678
0901000418,417010001000418,8910300000010004181,1234,5678
0901000419,417010001000419,8910300000010004199,1234,5678
0901000420,417010001000420,8910300000010004207,1234,5678
0901000421,417010001000421,8910300000010004215,1234,5678
0901000422,417010001000422,8910300000010004223,1234,5678
0901000423,417010001000423,8910300000010004231,1234,5678
0901000424,417010001000424,8910300000010004249,1234,5678
0901000425,417010001000425,8910300000010004256,1234,5678
0901000426,417010001000426,8910300000010004264,1234,5678
0901000427,417010001000427,8910300000010004272,1234,5678
0901000428,417010001000428,8910300000010004280,1234,5678
0901000429,417010001000429,8910300000010004298,1234,5678
0901000430,417010001000430,8910300000010004306,1234,5678
0901000431,417010001000431,8910300000010004314,1234,5678
0901000432,417010001000432,8910300000010004322,1234,5678
0901000433,417010001000433,8910300000010004330,1234,5678
0901000434,417010001000434,8910300000010004348,1234,5678
0901000435,417010001000435,8910300000010004355,1234,5678
0901000436,417010001000436,8910300000010004363,1234,5678
0901000437,417010001000437,8910300000010004371,1234,5678
0901000438,417010001000438,8910300000010004389,1234,5678
0901000439,417010001000439,8910300000010004397,1234,5678
0901000440,417010001000440,8910300000010004405,1234,5678
0901000441,417010001000441,8910300000010004413,1234,5678
0901000442,417010001000442,8910300000010004421,1234,5678
0901000443,417010001000443,8910300000010004439,1234,5678
0901000444,417010001000444,8910300000010004447,1234,5678
0901000445,417010001000445,8910300000010004454,1234,5678
0901000446,417010001000446,8910300000010004462,1234,5678
0901000447,417010001000447,8910300000010004470,1234,5678
0901000448,417010001000448,8910300000010004488,1234,5678
0901000449,417010001000449,8910300000010004496,1234,5678
0901000450,417010001000450,8910300000010004504,1234,5678
0901000451,417010001000451,8910300000010004512,1234,5678
0901000452,417010001000452,8910300000010004520,1234,5678
0901000453,417010001000453,8910300000010004538,1234,5678
0901000454,417010001000454,8910300000010004546,1234,5678
0901000455,417010001000455,8910300000010004553,1234,5678
0901000456,417010001000456,8910300000010004561,1234,5678
0901000457,417010001000457,8910300000010004579,1234,5678
0901000458,417010001000458,8910300000010004587,1234,5678
0901000459,417010001000459,8910300000010004595,1234,5678
0901000460,417010001000460,8910300000010004603,1234,5678
0901000461,417010001000461,8910300000010004611,1234,5678
0901000462,417010001000462,8910300000010004629,1234,5678
0901000463,417010001000463,8910300000010004637,1234,5678
0901000464,417010001000464,8910300000010004645,1234,5678
0901000465,417010001000465,8910300000010004652,1234,5678
0901000466,417010001000466,8910300000010004660,1234,5678
0901000467,417010001000467,8910300000010004678,1234,5678
0901000468,417010001000468,8910300000010004686,1234,5678
0901000469,417010001000469,8910300000010004694,1234,5678
0901000470,417010001000470,8910300000010004702,1234,5678
0901000471,417010001000471,8910300000010004710,1234,5678
0901000472,417010001000472,8910300000010004728,1234,5678
0901000473,417010001000473,8910300000010004736,1234,5678
0901000474,417010001000474,8910300000010004744,1234,5678
0901000475,417010001000475,8910300000010004751,1234,5678
0901000476,417010001000476,8910300000010004769,1234,5678
0901000477,417010001000477,8910300000010004777,1234,5678
0901000478,417010001000478,8910300000010004785,1234,5678
0901000479,417010001000479,8910300000010004793,1234,5678
0901000480,417010001000480,8910300000010004801,1234,5678
0901000481,417010001000481,8910300000010004819,1234,5678
0901000482,417010001000482,8910300000010004827,1234,5678
0901000483,417010001000483,8910300000010004835,1234,5678
0901000484,417010001000484,8910300000010004843,1234,5678
0901000485,417010001000485,8910300000010004850,1234,5678
0901000486,417010001000486,8910300000010004868,1234,5678
0901000487,417010001000487,8910300000010004876,1234,5678
0901000488,417010001000488,8910300000010004884,1234,5678
0901000489,417010001000489,8910300000010004892,1234,5678
0901000490,417010001000490,8910300000010004900,1234,5678
0901000491,417010001000491,8910300000010004918,1234,5678
0901000492,417010001000492,8910300000010004926,1234,5678
0901000493,417010001000493,8910300000010004934,1234,5678
0901000494,417010001000494,8910300000010004942,1234,5678
0901000495,417010001000495,8910300000010004959,1234,5678
0901000496,417010001000496,8910300000010004967,1234,5678
0901000497,417010001000497,8910300000010004975,1234,5678
0901000498,417010001000498,8910300000010004983,1234,5678
0901000499,417010001000499,8910300000010004991,1234,5678
,,INVALID_ICCID,,
0901000501,417010001000501,8910300000010005014,1234,5678
0901000502,417010001000502,8910300000010005022,1234,5678
0901000503,417010001000503,8910300000010005030,1234,5678
0901000504,417010001000504,8910300000010005048,1234,5678
0901000505,417010001000505,8910300000010005055,1234,5678
0901000506,417010001000506,8910300000010005063,1234,5678
0901000507,417010001000507,8910300000010005071,1234,5678
0901000508,417010001000508,8910300000010005089,1234,5678
0901000509,417010001000509,8910300000010005097,1234,5678
0901000510,417010001000510,8910300000010005105,1234,5678
0901000511,417010001000511,8910300000010005113,1234,5678
0901000512,417010001000512,8910300000010005121,1234,5678
0901000513,417010001000513,8910300000010005139,1234,5678
0901000514,417010001000514,8910300000010005147,1234,5678
0901000515,417010001000515,8910300000010005154,1234,5678
0901000516,417010001000516,8910300000010005162,1234,5678
0901000517,417010001000517,8910300000010005170,1234,5678
0901000518,417010001000518,8910300000010005188,1234,5678
0901000519,417010001000519,8910300000010005196,1234,5678
0901000520,417010001000520,8910300000010005204,1234,5678
0901000521,417010001000521,8910300000010005212,1234,5678
0901000522,417010001000522,8910300000010005220,1234,5678
0901000523,417010001000523,8910300000010005238,1234,5678
0901000524,417010001000524,8910300000010005246,1234,5678
0901000525,417010001000525,8910300000010005253,1234,5678
0901000526,417010001000526,8910300000010005261,1234,5678
0901000527,417010001000527,8910300000010005279,1234,5678
0901000528,417010001000528,8910300000010005287,1234,5678
0901000529,417010001000529,8910300000010005295,1234,5678
0901000530,417010001000530,8910300000010005303,1234,5678
0901000531,417010001000531,8910300000010005311,1234,5678
0901000532,417010001000532,8910300000010005329,1234,5678
0901000533,417010001000533,8910300000010005337,1234,5678
0901000534,417010001000534,8910300000010005345,1234,5678
0901000535,417010001000535,8910300000010005352,1234,5678
0901000536,417010001000536,8910300000010005360,1234,5678
0901000537,417010001000537,8910300000010005378,1234,5678
0901000538,417010001000538,8910300000010005386,1234,5678
0901000539,417010001000539,8910300000010005394,1234,5678
0901000540,417010001000540,8910300000010005402,1234,5678
0901000541,417010001000541,8910300000010005410,1234,5678
0901000542,417010001000542,8910300000010005428,1234,5678
0901000543,417010001000543,8910300000010005436,1234,5678
0901000544,417010001000544,8910300000010005444,1234,5678
0901000545,417010001000545,8910300000010005451,1234,5678
0901000546,417010001000546,8910300000010005469,1234,5678
0901000547,417010001000547,8910300000010005477,1234,5678
0901000548,417010001000548,8910300000010005485,1234,5678
0901000549,417010001000549,8910300000010005493,1234,5678
0901000550,417010001000550,8910300000010005501,1234,5678
0901000551,417010001000551,8910300000010005519,1234,5678
0901000552,417010001000552,8910300000010005527,1234,5678
0901000553,417010001000553,8910300000010005535,1234,5678
0901000554,417010001000554,8910300000010005543,1234,5678
0901000555,417010001000555,8910300000010005550,1234,5678
0901000556,417010001000556,8910300000010005568,1234,5678
0901000557,417010001000557,8910300000010005576,1234,5678
0901000558,417010001000558,8910300000010005584,1234,5678
0901000559,417010001000559,8910300000010005592,1234,5678
